nm, %T
600.000000, 10.671176
599.750000, 10.664926
599.500000, 10.660009
599.250000, 10.655358
599.000000, 10.649573
598.750000, 10.642727
598.500000, 10.643769
598.250000, 10.637317
598.000000, 10.635244
597.750000, 10.633008
597.500000, 10.627183
597.250000, 10.624852
597.000000, 10.618869
596.750000, 10.619325
596.500000, 10.614981
596.250000, 10.614261
596.000000, 10.609096
595.750000, 10.609276
595.500000, 10.606922
595.250000, 10.607467
595.000000, 10.603867
594.750000, 10.599647
594.500000, 10.600097
594.250000, 10.602092
594.000000, 10.601417
593.750000, 10.601177
593.500000, 10.601840
593.250000, 10.603898
593.000000, 10.603261
592.750000, 10.606506
592.500000, 10.603595
592.250000, 10.607220
592.000000, 10.609941
591.750000, 10.613665
591.500000, 10.616810
591.250000, 10.621037
591.000000, 10.620662
590.750000, 10.627223
590.500000, 10.627469
590.250000, 10.634893
590.000000, 10.643291
589.750000, 10.648349
589.500000, 10.651645
589.250000, 10.660277
589.000000, 10.668044
588.750000, 10.677033
588.500000, 10.681958
588.250000, 10.690087
588.000000, 10.698818
587.750000, 10.707521
587.500000, 10.719624
587.250000, 10.727793
587.000000, 10.734207
586.750000, 10.751649
586.500000, 10.755645
586.250000, 10.765071
586.000000, 10.776543
585.750000, 10.790107
585.500000, 10.798827
585.250000, 10.814699
585.000000, 10.827196
584.750000, 10.838365
584.500000, 10.849106
584.250000, 10.864125
584.000000, 10.877589
583.750000, 10.892620
583.500000, 10.904289
583.250000, 10.919697
583.000000, 10.935411
582.750000, 10.950307
582.500000, 10.960880
582.250000, 10.980262
582.000000, 10.991042
581.750000, 11.009342
581.500000, 11.022370
581.250000, 11.039342
581.000000, 11.053033
580.750000, 11.072239
580.500000, 11.087457
580.250000, 11.105158
580.000000, 11.117720
579.750000, 11.137425
579.500000, 11.150729
579.250000, 11.169547
579.000000, 11.185178
578.750000, 11.206075
578.500000, 11.220112
578.250000, 11.237379
578.000000, 11.253477
577.750000, 11.272747
577.500000, 11.290626
577.250000, 11.309788
577.000000, 11.326372
576.750000, 11.342107
576.500000, 11.362594
576.250000, 11.383541
576.000000, 11.399506
575.750000, 11.416158
575.500000, 11.433694
575.250000, 11.454983
575.000000, 11.473156
574.750000, 11.488130
574.500000, 11.506300
574.250000, 11.525079
574.000000, 11.545718
573.750000, 11.564959
573.500000, 11.581501
573.250000, 11.600280
573.000000, 11.622298
572.750000, 11.640631
572.500000, 11.656857
572.250000, 11.676121
572.000000, 11.696198
571.750000, 11.713192
571.500000, 11.732131
571.250000, 11.751950
571.000000, 11.770410
570.750000, 11.787999
570.500000, 11.806533
570.250000, 11.824389
570.000000, 11.841336
569.750000, 11.862982
569.500000, 11.881874
569.250000, 11.900476
569.000000, 11.919012
568.750000, 11.936511
568.500000, 11.954611
568.250000, 11.970572
568.000000, 11.988761
567.750000, 12.007747
567.500000, 12.026105
567.250000, 12.042471
567.000000, 12.058907
566.750000, 12.075841
566.500000, 12.096089
566.250000, 12.112676
566.000000, 12.127962
565.750000, 12.146068
565.500000, 12.163323
565.250000, 12.182401
565.000000, 12.199635
564.750000, 12.214211
564.500000, 12.230548
564.250000, 12.247036
564.000000, 12.264145
563.750000, 12.277373
563.500000, 12.293241
563.250000, 12.309564
563.000000, 12.323019
562.750000, 12.337184
562.500000, 12.356189
562.250000, 12.371854
562.000000, 12.387524
561.750000, 12.403097
561.500000, 12.416666
561.250000, 12.431402
561.000000, 12.445763
560.750000, 12.458240
560.500000, 12.472324
560.250000, 12.486110
560.000000, 12.499119
559.750000, 12.511809
559.500000, 12.524168
559.250000, 12.535129
559.000000, 12.546685
558.750000, 12.559234
558.500000, 12.572062
558.250000, 12.584028
558.000000, 12.592279
557.750000, 12.602177
557.500000, 12.611207
557.250000, 12.622034
557.000000, 12.634511
556.750000, 12.644580
556.500000, 12.655174
556.250000, 12.664689
556.000000, 12.670911
555.750000, 12.679528
555.500000, 12.688161
555.250000, 12.694905
555.000000, 12.704853
554.750000, 12.710986
554.500000, 12.717466
554.250000, 12.727510
554.000000, 12.734125
553.750000, 12.739790
553.500000, 12.744572
553.250000, 12.751225
553.000000, 12.756843
552.750000, 12.761517
552.500000, 12.766465
552.250000, 12.772360
552.000000, 12.777823
551.750000, 12.781494
551.500000, 12.782354
551.250000, 12.785650
551.000000, 12.788283
550.750000, 12.790164
550.500000, 12.794010
550.250000, 12.796012
550.000000, 12.798483
549.750000, 12.802305
549.500000, 12.803210
549.250000, 12.805334
549.000000, 12.807301
548.750000, 12.806940
548.500000, 12.808672
548.250000, 12.808562
548.000000, 12.807254
547.750000, 12.806594
547.500000, 12.806177
547.250000, 12.805665
547.000000, 12.801960
546.750000, 12.798111
546.500000, 12.797450
546.250000, 12.796903
546.000000, 12.794586
545.750000, 12.793554
545.500000, 12.789651
545.250000, 12.785872
545.000000, 12.782006
544.750000, 12.778055
544.500000, 12.775377
544.250000, 12.770446
544.000000, 12.765111
543.750000, 12.761814
543.500000, 12.756626
543.250000, 12.750726
543.000000, 12.745290
542.750000, 12.737063
542.500000, 12.730333
542.250000, 12.723492
542.000000, 12.714885
541.750000, 12.709243
541.500000, 12.702380
541.250000, 12.694087
541.000000, 12.684373
540.750000, 12.676097
540.500000, 12.667600
540.250000, 12.660365
540.000000, 12.651975
539.750000, 12.641267
539.500000, 12.630994
539.250000, 12.622827
539.000000, 12.611015
538.750000, 12.600624
538.500000, 12.592100
538.250000, 12.580575
538.000000, 12.569072
537.750000, 12.557149
537.500000, 12.545638
537.250000, 12.533927
537.000000, 12.521678
536.750000, 12.509088
536.500000, 12.496827
536.250000, 12.485437
536.000000, 12.473462
535.750000, 12.459774
535.500000, 12.445492
535.250000, 12.433174
535.000000, 12.419955
534.750000, 12.406894
534.500000, 12.392921
534.250000, 12.380509
534.000000, 12.365522
533.750000, 12.352350
533.500000, 12.340227
533.250000, 12.324700
533.000000, 12.311046
532.750000, 12.299513
532.500000, 12.285161
532.250000, 12.267389
532.000000, 12.255222
531.750000, 12.239189
531.500000, 12.224254
531.250000, 12.211931
531.000000, 12.200122
530.750000, 12.184611
530.500000, 12.172312
530.250000, 12.158485
530.000000, 12.146187
529.750000, 12.131583
529.500000, 12.116347
529.250000, 12.102966
529.000000, 12.090357
528.750000, 12.075500
528.500000, 12.063466
528.250000, 12.050146
528.000000, 12.036559
527.750000, 12.022950
527.500000, 12.008651
527.250000, 11.996111
527.000000, 11.986586
526.750000, 11.973757
526.500000, 11.961181
526.250000, 11.948160
526.000000, 11.935640
525.750000, 11.925652
525.500000, 11.912230
525.250000, 11.900087
525.000000, 11.890591
524.750000, 11.880096
524.500000, 11.868864
524.250000, 11.854362
524.000000, 11.845867
523.750000, 11.833897
523.500000, 11.824813
523.250000, 11.813421
523.000000, 11.805507
522.750000, 11.793598
522.500000, 11.783182
522.250000, 11.773266
522.000000, 11.764519
521.750000, 11.755763
521.500000, 11.749382
521.250000, 11.739107
521.000000, 11.727651
520.750000, 11.719016
520.500000, 11.712209
520.250000, 11.703325
520.000000, 11.695413
519.750000, 11.685068
519.500000, 11.679911
519.250000, 11.670448
519.000000, 11.663707
518.750000, 11.656656
518.500000, 11.650246
518.250000, 11.640601
518.000000, 11.634684
517.750000, 11.629052
517.500000, 11.622869
517.250000, 11.615048
517.000000, 11.609186
516.750000, 11.603139
516.500000, 11.597572
516.250000, 11.589021
516.000000, 11.583773
515.750000, 11.579077
515.500000, 11.574360
515.250000, 11.566822
515.000000, 11.561539
514.750000, 11.555711
514.500000, 11.551852
514.250000, 11.549552
514.000000, 11.542693
513.750000, 11.538670
513.500000, 11.532719
513.250000, 11.527589
513.000000, 11.524164
512.750000, 11.519544
512.500000, 11.516656
512.250000, 11.514033
512.000000, 11.510345
511.750000, 11.505460
511.500000, 11.504800
511.250000, 11.503284
511.000000, 11.499171
510.750000, 11.495442
510.500000, 11.492413
510.250000, 11.491845
510.000000, 11.488840
509.750000, 11.489447
509.500000, 11.486107
509.250000, 11.486456
509.000000, 11.486251
508.750000, 11.487417
508.500000, 11.485710
508.250000, 11.484881
508.000000, 11.484258
507.750000, 11.484572
507.500000, 11.487380
507.250000, 11.489430
507.000000, 11.488143
506.750000, 11.488006
506.500000, 11.490433
506.250000, 11.489241
506.000000, 11.488886
505.750000, 11.490731
505.500000, 11.494531
505.250000, 11.497213
505.000000, 11.499130
504.750000, 11.503868
504.500000, 11.502023
504.250000, 11.505911
504.000000, 11.512710
503.750000, 11.512874
503.500000, 11.516290
503.250000, 11.520029
503.000000, 11.523427
502.750000, 11.529013
502.500000, 11.533699
502.250000, 11.539635
502.000000, 11.543564
501.750000, 11.546026
501.500000, 11.551406
501.250000, 11.557908
501.000000, 11.559556
500.750000, 11.563514
500.500000, 11.571638
500.250000, 11.577928
500.000000, 11.580957
499.750000, 11.591397
499.500000, 11.594563
499.250000, 11.599669
499.000000, 11.606178
498.750000, 11.615960
498.500000, 11.618368
498.250000, 11.624496
498.000000, 11.630613
497.750000, 11.638709
497.500000, 11.642086
497.250000, 11.648709
497.000000, 11.656341
496.750000, 11.664274
496.500000, 11.671475
496.250000, 11.679536
496.000000, 11.687672
495.750000, 11.695429
495.500000, 11.700516
495.250000, 11.708337
495.000000, 11.716656
494.750000, 11.724460
494.500000, 11.733772
494.250000, 11.744450
494.000000, 11.752626
493.750000, 11.759393
493.500000, 11.766571
493.250000, 11.779946
493.000000, 11.789093
492.750000, 11.795969
492.500000, 11.802212
492.250000, 11.813538
492.000000, 11.824106
491.750000, 11.833510
491.500000, 11.841381
491.250000, 11.851422
491.000000, 11.857657
490.750000, 11.871426
490.500000, 11.882941
490.250000, 11.894969
490.000000, 11.904739
489.750000, 11.917457
489.500000, 11.923946
489.250000, 11.933606
489.000000, 11.948148
488.750000, 11.961001
488.500000, 11.968898
488.250000, 11.985424
488.000000, 11.995604
487.750000, 12.005851
487.500000, 12.018281
487.250000, 12.033627
487.000000, 12.046207
486.750000, 12.060042
486.500000, 12.073135
486.250000, 12.091482
486.000000, 12.102892
485.750000, 12.112583
485.500000, 12.128935
