nm, %T
600.000000, 10.267178
599.750000, 10.258139
599.500000, 10.254659
599.250000, 10.250344
599.000000, 10.248520
598.750000, 10.243153
598.500000, 10.241596
598.250000, 10.233830
598.000000, 10.232942
597.750000, 10.227976
597.500000, 10.224232
597.250000, 10.222548
597.000000, 10.219382
596.750000, 10.217256
596.500000, 10.214024
596.250000, 10.212179
596.000000, 10.207217
595.750000, 10.203123
595.500000, 10.206883
595.250000, 10.200290
595.000000, 10.198408
594.750000, 10.193709
594.500000, 10.194844
594.250000, 10.195203
594.000000, 10.195983
593.750000, 10.195395
593.500000, 10.195998
593.250000, 10.195179
593.000000, 10.196477
592.750000, 10.199414
592.500000, 10.201066
592.250000, 10.202810
592.000000, 10.203118
591.750000, 10.204145
591.500000, 10.207685
591.250000, 10.211066
591.000000, 10.215455
590.750000, 10.218502
590.500000, 10.224879
590.250000, 10.224363
590.000000, 10.234531
589.750000, 10.239441
589.500000, 10.245255
589.250000, 10.250496
589.000000, 10.257534
588.750000, 10.262753
588.500000, 10.274395
588.250000, 10.280462
588.000000, 10.290829
587.750000, 10.300124
587.500000, 10.307025
587.250000, 10.312750
587.000000, 10.325394
586.750000, 10.335986
586.500000, 10.345906
586.250000, 10.351135
586.000000, 10.362745
585.750000, 10.372248
585.500000, 10.388101
585.250000, 10.398163
585.000000, 10.408684
584.750000, 10.420736
584.500000, 10.433561
584.250000, 10.447228
584.000000, 10.458539
583.750000, 10.471028
583.500000, 10.488897
583.250000, 10.500008
583.000000, 10.516335
582.750000, 10.528106
582.500000, 10.544891
582.250000, 10.555742
582.000000, 10.572391
581.750000, 10.587353
581.500000, 10.599279
581.250000, 10.616972
581.000000, 10.632195
580.750000, 10.646355
580.500000, 10.663384
580.250000, 10.679485
580.000000, 10.693476
579.750000, 10.713571
579.500000, 10.728603
579.250000, 10.740745
579.000000, 10.757796
578.750000, 10.775703
578.500000, 10.794475
578.250000, 10.807668
578.000000, 10.825335
577.750000, 10.845088
577.500000, 10.862556
577.250000, 10.878778
577.000000, 10.895154
576.750000, 10.910884
576.500000, 10.929694
576.250000, 10.950864
576.000000, 10.965125
575.750000, 10.981007
575.500000, 10.998649
575.250000, 11.019454
575.000000, 11.035422
574.750000, 11.055818
574.500000, 11.069917
574.250000, 11.091095
574.000000, 11.107955
573.750000, 11.126095
573.500000, 11.144554
573.250000, 11.163932
